Track,Apple_playlists,Apple_charts
Seven (feat. Latto) (Explicit Ver.),43,263
LALA,48,126
vampire,94,207
Cruel Summer,116,207
WHERE SHE GOES,84,133
Sprinter,67,213
Ella Baila Sola,34,222
Columbia,25,89
fukumean,60,210
La Bebe - Remix,49,110
un x100to,41,205
Super Shy,37,202
Flowers,300,215
Daylight,80,156
As It Was,403,198
Kill Bill,183,162
Cupid - Twin Ver.,91,212
"What Was I Made For? [From The Motion Picture ""Barbie""]",80,227
Classy 101,43,100
Like Crazy,8,104
LADY GAGA,11,163
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,73,119
I Wanna Be Yours,24,98
"Peso Pluma: Bzrp Music Sessions, Vol. 55",17,152
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),74,182
SABOR FRESA,16,149
Calm Down (with Selena Gomez),202,119
MOJABI GHOST,35,109
Last Night,52,107
Dance The Night (From Barbie The Album),0,0
Rush,71,135
TULUM,20,185
Creepin',113,149
Anti-Hero,242,142
TQG,115,123
Los del Espacio,22,33
Frï¿½ï¿½gil (feat. Grupo Front,19,108
Blank Space,154,123
Style,94,111
TQM,16,159
El Azul,10,107
Sunflower - Spider-Man: Into the Spider-Verse,372,117
I'm Good (Blue),291,184
See You Again,77,58
Barbie World (with Aqua) [From Barbie The Album],82,145
Angels Like You,65,48
I Ain't Worried,241,127
Die For You,68,21
Starboy,281,137
Die For You - Remix,87,86
El Cielo,44,64
Baby Don't Hurt Me,145,111
AMARGURA,14,71
(It Goes Like) Nanana - Edit,0,0
Another Love,250,122
Blinding Lights,672,199
Moonlight,67,79
La Bachata,139,111
S91,34,115
cardigan,106,112
Tï¿½ï¿,27,17
Boy's a liar Pt. 2,154,84
Left and Right (Feat. Jung Kook of BTS),38,0
BESO,82,121
Hey Mor,63,79
Yellow,196,2
Karma,37,55
People,105,64
Overdrive,36,32
Enchanted (Taylor's Version),32,93
BABY HELLO,42,80
Heat Waves,386,144
golden hour,70,58
Sweater Weather,166,87
"Quevedo: Bzrp Music Sessions, Vol. 52",94,65
Viva La Vida,233,0
Here With Me,94,85
Unholy (feat. Kim Petras),216,108
Yandel 150,47,74
CORAZï¿½ï¿½N VA,12,16
Riptide,300,65
Until I Found You (with Em Beihold) - Em Beihold Version,60,96
Novidade na ï¿½ï¿,9,6
Back To December (Taylor's Version),16,72
STAY (with Justin Bieber),492,99
El Merengue,80,75
Someone You Loved,440,125
Me Porto Bonito,104,120
Makeba,150,148
MONTAGEM - FR PUNK,1,52
Fast Car,57,97
What It Is (Solo Version),29,76
Coco Chanel,28,89
Donï¿½ï¿½ï¿½t Bl,19,45
Still With You,2,107
All My Life (feat. J. Cole),69,145
Say Yes To Heaven,49,105
Snooze,58,156
Summertime Sadness,89,143
Take Two,20,106
Lover,160,110
Too Many Nights (feat. Don Toliver & with Future),17,119
Chemical,56,91
Mockingbird,49,98
New Jeans,8,166
Primera Cita,6,40
Cold Heart - PNAU Remix,384,135
Dandelions,41,100
Bones,98,108
Set Fire to the Rain,88,112
Money Trees,69,113
Tak Segampang Itu,7,6
LAGUNAS,2,106
Mine (Taylor's Version),21,52
Everybody Wants To Rule The World,101,32
No Role Modelz,80,65
Tattoo,74,102
Rara Vez,19,23
VAGABUNDO,40,58
august,25,81
LUNA,19,117
Miracle (with Ellie Goulding),161,115
Nonsense,69,12
Que Vuelvas,21,110
Por las Noches,8,116
Feliz Cumpleaï¿½ï¿½os Fe,45,69
Can't Hold Us (feat. Ray Dalton),201,44
Watermelon Sugar,437,115
lovely - Bonus Track,221,96
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",25,59
Queencard,10,126
OMG,26,124
Radio,24,122
"Shakira: Bzrp Music Sessions, Vol. 53",119,108
505,30,80
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",31,37
Trance (with Travis Scott & Young Thug),24,90
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",3,88
Perfect,7,0
Romantic Homicide,82,55
Believer,250,121
Novo Balanï¿½,6,9
"Gol Bolinha, Gol Quadrado 2",5,2
Without Me,98,76
QUEMA,17,29
Stargirl Interlude,13,8
Ojitos Lindos,71,113
Somewhere Only We Know,107,69
Those Eyes,24,71
El Gordo Trae El Mando,7,71
Mi Bello Angel,7,76
Bye,13,110
Danza Kuduro,119,81
Nosso Quadro,14,88
Locked Out Of Heaven,0,0
Un Finde | CROSSOVER #2,4,14
Jimmy Cooks (feat. 21 Savage),81,121
Counting Stars,179,97
Ghost,107,38
Under The Influence,133,181
PRC,19,143
Gasolina,98,95
One Dance,433,107
Enchanted,24,101
Save Your Tears,197,115
Sure Thing,137,125
Every Breath You Take - Remastered 2003,211,74
The Night We Met,70,82
We Found Love,321,91
When I Was Your Man,0,0
Let Me Down Slowly,0,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",17,60
Do I Wanna Know?,133,92
Demons,65,82
ýýýýýýýýýýýý,35,102
Reminder,45,85
Shake It Off,328,70
Why'd You Only Call Me When You're High?,54,70
SNAP,148,80
Shape of You,33,0
Night Changes,60,20
Fin de Semana,11,84
Creep,146,72
Car's Outside,38,25
Apocalypse,61,96
Cheques,7,10
Pink + White,112,68
Circles,391,73
Just The Way You Are,82,0
Take Me To Church,187,99
Bebe Dame,27,129
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,47,90
Titi Me Preguntï¿,124,133
Better Than Revenge (Taylor's Version),3,33
Shut up My Moms Calling,1,50
Have You Ever Seen The Rain?,71,37
Es un Secreto,4,3
POLARIS - Remix,20,46
Ditto,28,125
Take On Me,34,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",13,46
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",22,18
Acrï¿½ï¿½s,37,50
AMG,12,117
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",6,71
S-Class,9,101
Hits Different,15,15
Chanel,15,92
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),18,41
Area Codes,44,34
Abcdario,8,60
Obsessed,10,79
Piï¿½ï¿½man Deï¿,5,6
FLOWER,20,110
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",5,17
Eyes Closed,116,69
Escapism.,116,84
La Jumpa,47,77
Karma (feat. Ice Spice),23,21
Superhero (Heroes & Villains) [with Future & Chris Brown],41,69
Las Morras,8,78
CHORRITO PA LAS ANIMAS,29,65
Ch y la Pizza,10,72
Snow On The Beach (feat. More Lana Del Rey),1,0
Players,118,48
Bite Me,8,96
Stand By Me (feat. Morgan Wallen),23,82
Normal,47,66
Hummingbird (Metro Boomin & James Blake),1,20
Seu Brilho Sumiu - Ao Vivo,7,29
Bad Habit,155,72
CUFF IT,215,88
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),6,14
69,39,14
Niï¿½ï¿½a Bo,29,26
Search & Rescue,58,70
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),34,2
Lavender Haze,51,43
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",3,10
Efecto,34,65
Erro Gostoso - Ao Vivo,8,57
Cupido,51,29
Just Wanna Rock,72,27
Unstoppable,119,66
Until I Found You,69,100
Rich Flex,84,84
Easy On Me,258,87
Cartï¿½ï¿½o B,7,2
Danger (Spider) (Offset & JID),3,3
Oi Balde - Ao Vivo,12,57
The Real Slim Shady,81,53
MERCHO,41,22
The Color Violet,3,79
Glimpse of Us,109,42
Mejor Que Yo,9,13
Curtains,37,3
UNFORGIVEN (feat. Nile Rodgers),14,110
Haegeum,6,84
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,17,7
MIENTRAS ME CURO DEL CORA,15,26
Never Felt So Alone,46,5
X SI VOLVEMOS,45,80
ceilings,67,55
Cupid,15,93
I AM,16,102
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,0,0
Shorty Party,8,14
Super,16,103
Slut Me Out,21,4
Double Fantasy (with Future),36,65
All Of The Girls You Loved Before,26,6
PROVENZA,114,104
Princess Diana (with Nicki Minaj),0,0
Di Que Si,4,64
Shivers,234,71
Igualito a Mi Apï¿,8,84
Shoong! (feat. LISA of BLACKPINK),16,90
Komang,5,6
DESPECHï¿,180,90
Made You Look,142,23
Watch This - ARIZONATEARS Pluggnb Remix,0,0
No Se Va,17,80
Punto G,34,26
Lovers Rock,3,1
METAMORPHOSIS,18,78
Mami Chula,17,13
En Paris,3,31
Set Me Free Pt.2,4,71
I Was Never There,30,70
Don't ever say love me (feat. RM of BTS),5,9
Shut Down,53,120
Gato de Noche,21,55
Call Out My Name,151,107
Like Crazy (English Version),4,72
Rosa Pastel,8,77
Sunroof,156,35
Lose Yourself - Soundtrack Version,247,54
Superman,18,51
Mas Rica Que Ayer,10,41
People Pt.2 (feat. IU),4,45
REMIX EXCLUSIVO,20,8
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol",11,3
DOGTOOTH,23,0
10:35,190,104
SORRY NOT SORRY,8,1
HAPPY,22,7
La Bebe,4,11
I Know - PR1SVX Edit,16,15
Late Night Talking,166,42
Leï¿½,30,84
Save Your Tears (with Ariana Grande) (Remix),240,98
Something in the Orange,67,84
VOID,29,9
Dijeron Que No La Iba Lograr,5,48
Midnight Rain,19,29
If We Ever Broke Up,81,27
You Proof,37,88
LA INOCENTE,28,57
Malas Decisiones,23,2
Murder In My Mind,20,68
Gangsta's Paradise,21,0
CAIRO,52,66
I Love You So,44,19
Dark Red,71,53
Say You Won't Let Go,231,37
The Hills,122,94
Heart To Heart,27,27
Peaches (from The Super Mario Bros. Movie),0,0
Marisola - Remix,20,8
LOKERA,72,64
Low,23,71
Numb,39,0
Tormenta (feat. Bad Bunny),32,18
on the street (with J. Cole),22,82
One Thing At A Time,11,58
Miss You,108,16
Ainï¿½ï¿½ï¿½t Tha,4,20
Thinkinï¿½ï¿½ï¿½ B,22,101
Private Landing (feat. Justin Bieber & Future),29,3
Everything I Love,11,54
Heaven,61,6
LET GO,49,23
Sial,4,6
I Wrote The Book,15,17
"Apna Bana Le (From ""Bhediya"")",11,101
SPIT IN MY FACE!,32,3
PLAYA DEL INGLï¿½,30,15
Man Made A Bar (feat. Eric Church),14,35
Red Ruby Da Sleeze,45,11
Kahani Suno 2.0,1,10
Nobody Gets Me,59,100
PERO Tï¿,11,15
Hype Boy,20,119
Bloody Mary,66,26
Monotonï¿½,118,34
ýýý98 Braves,6,15
WANDA,11,24
Thought You Should Know,16,53
In The End,63,0
Zona De Perigo,20,1
Lovezinho,12,2
I Like You (A Happier Song) (with Doja Cat),94,21
Neverita,20,64
Vista Al Mar,16,19
Sem Alianï¿½ï¿½a no ,6,1
Enemy (with JID) - from the series Arcane League of Legends,122,88
Revenge,7,0
Bombonzinho - Ao Vivo,26,69
LA CANCIï¿½,177,109
Quï¿½ï¿½ Ago,19,59
Love Again,57,4
After Hours,45,115
About Damn Time,0,0
Born With A Beer In My Hand,5,9
ýýýýýýýýýýýýýýýýýýýýý,24,94
Besos Moja2,53,7
Maan Meri Jaan,11,80
Moscow Mule,74,113
My Universe,0,0
Devil Donï¿½ï¿½ï¿½,2,10
LLYLM,105,41
I'm Not Here To Make Friends,86,1
TRUSTFALL,88,24
ANTIFRAGILE,23,95
Boy's a liar,27,0
VIBE (feat. Jimin of BTS),15,40
Shirt,71,95
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,129,31
STAR WALKIN' (League of Legends Worlds Anthem),113,17
"Sex, Drugs, Etc.",47,60
Boy With Luv (feat. Halsey),113,92
"Hey, Mickey!",9,1
Calm Down,107,44
Jhoome Jo Pathaan,13,78
Escapism. - Sped Up,12,1
Space Song,69,76
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],11,78
Te Felicito,124,66
Muï¿½ï¿½,33,7
TV,68,89
I'm Not The Only One,136,24
Heather,82,1
"Besharam Rang (From ""Pathaan"")",21,79
One Kiss (with Dua Lipa),537,122
Sugar Rush Ride,12,56
Pink Venom,57,119
WAIT FOR U (feat. Drake & Tems),128,84
Don't Start Now,532,77
After Dark,1,9
Eu Gosto Assim - Ao Vivo,27,64
INDUSTRY BABY (feat. Jack Harlow),300,47
MIDDLE OF THE NIGHT,78,21
Atlantis,43,53
PUNTO 40,54,32
Evoque Prata,14,1
How Do I Say Goodbye,72,97
Blind,22,51
Die For You,38,45
Doja,57,44
Gatita,9,0
Rumble,39,45
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],12,22
Yonaguni,120,86
Super Freaky Girl,104,17
Running Up That Hill (A Deal With God),117,1
Dream On,0,0
Limbo,14,1
Where Are You Now,238,122
WORTH NOTHING,34,54
Bad Habits,344,97
KICK BACK,38,101
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,70,0
Good Days,133,109
Levitating (feat. DaBaby),198,13
Woman,202,50
Shut up My Moms Calling - (Sped Up),2,4
Ferrari,173,79
"You're On Your Own, Kid",8,18
"Kesariya (From ""Brahmastra"")",26,98
Agudo Mï¿½ï¿½gi,4,0
Payphone,56,38
All I Want for Christmas Is You,387,132
Last Christmas,274,111
Rockin' Around The Christmas Tree,191,168
Jingle Bell Rock,165,99
It's Beginning To Look A Lot Like Christmas,35,0
Santa Tell Me,231,106
It's the Most Wonderful Time of the Year,182,107
Let It Snow! Let It Snow! Let It Snow!,88,1
Snowman,85,110
Underneath the Tree,144,99
Feliz Navidad,21,3
Holly Jolly Christmas,5,0
Mistletoe,195,111
Sleigh Ride,114,74
Seek & Destroy,5,31
Love Language,16,63
Happy Xmas (War Is Over),130,1
Used (feat. Don Toliver),7,29
