Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
(G)I-DLE,266983330,77.5,67.0,87.0,3.5,0.0,37.5,11.5
"21 Savage, Gunna",60680939,68.0,29.0,73.0,0.0,0.0,7.0,7.0
"24kgoldn, Iann Dior",1699402402,70.0,76.0,72.0,22.0,0.0,27.0,4.0
50 Cent,1202722675,90.0,79.0,71.0,26.0,0.0,7.0,37.0
"A$AP Rocky, Metro Boomin, Roisee",94186466,60.0,13.0,53.0,4.0,0.0,21.0,4.0
"Abhijay Sharma, Riar Saab",71007139,80.0,85.0,74.0,62.0,0.0,8.0,9.0
"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",432719968,58.0,83.0,45.0,36.0,0.0,11.0,8.0
Adele,4508746590,61.75,41.75,63.5,20.0,0.0,8.5,3.5
Aerosmith,838586769,39.0,24.0,43.0,39.0,0.0,23.0,3.0
Agust D,118810253,70.0,83.0,84.0,31.0,0.0,47.0,30.0
"Aitana, zzoilo",578207856,75.0,36.0,76.0,12.0,0.0,10.0,10.0
"Ak4:20, Cris Mj, Pailita",118381354,86.0,91.0,79.0,29.0,0.0,60.0,16.0
Alec Benjamin,1374581173,65.0,51.0,55.0,73.0,0.0,14.0,3.0
"Alvaro Diaz, Rauw Alejandro",209768491,73.0,37.0,74.0,28.0,0.0,14.0,6.0
"Ana Castela, AgroPlay",233801632,69.0,61.0,71.0,33.0,0.0,31.0,20.0
Andy Williams,663832097,24.0,76.0,60.0,77.0,0.0,12.0,4.0
Anggi Marito,179659294,51.0,18.0,44.0,76.0,0.0,11.0,3.0
Anitta,546191065,81.0,40.0,73.0,15.0,0.0,9.0,8.0
"Anitta, Tini, Becky G",121189256,85.0,80.0,83.0,10.0,0.0,8.0,11.0
"AnnenMayKantereit, Giant Rooks",236872197,68.0,33.0,43.0,38.0,0.0,36.0,14.0
"Anuel Aa, Jhay Cortez",355219175,76.0,58.0,84.0,10.0,0.0,13.0,10.0
"Anuel Aa, Myke Towers, Jhay Cortez",177129919,63.0,75.0,75.0,17.0,0.0,11.0,8.0
"Arcangel, Bad Bunny",538115192,71.0,58.0,70.0,30.0,0.0,32.0,19.0
"Arcangel, Bizarrap",100409613,72.0,79.0,78.0,55.0,0.0,15.0,30.0
"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",223319934,56.0,61.0,76.0,10.0,0.0,14.0,11.0
Arctic Monkeys,5569806731,56.25,46.75,60.75,8.25,0.5,12.0,3.75
Ariana Grande,2086692936,59.5,59.5,71.5,24.5,0.0,19.5,15.0
"Ariana Grande, The Weeknd",1740558591,59.0,56.5,66.0,13.0,0.0,27.0,5.0
"Arijit Singh, Sachin-Jigar",139836056,59.0,44.0,56.0,80.0,0.0,6.0,3.0
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",64533040,56.0,53.0,55.0,53.0,0.0,12.0,4.0
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",1365184,82.0,62.0,74.0,10.0,0.0,33.0,7.0
Armani White,277132266,90.0,75.0,50.0,11.0,0.0,9.0,26.0
"Aventura, Bad Bunny",673801126,73.0,79.0,86.0,42.0,0.0,7.0,18.0
Avicii,3426754746,53.0,66.0,81.5,1.0,0.0,20.0,4.5
"Ayparia, unxbected",58054811,63.0,84.0,82.0,70.0,8.0,9.0,7.0
BIGBANG,53909146,68.0,24.0,58.0,44.0,0.0,6.0,3.0
BLACKPINK,1269030423,84.66666666666667,63.666666666666664,66.66666666666667,3.0,0.0,36.0,8.0
"BLESSD, Peso Pluma",127026613,78.0,90.0,84.0,31.0,0.0,7.0,4.0
BTS,4389891591,67.125,62.625,69.0,7.25,0.0,21.625,9.875
"BTS, Jung Kook, FIFA Sound",323358833,71.0,34.0,88.0,16.0,0.0,44.0,4.0
"BYOR, Imanbek",383835984,85.0,42.0,80.0,6.0,0.0,17.0,14.0
"Baby Rasta, Rauw Alejandro",304079786,87.0,20.0,83.0,0.0,4.0,31.0,9.0
Baby Tate,122763672,92.0,73.0,51.0,55.0,0.0,15.0,6.0
Bad Bunny,9997799607,75.15789473684211,53.21052631578947,66.73684210526316,22.842105263157894,3.3157894736842106,18.157894736842106,9.842105263157896
"Bad Bunny, Eladio Carrion",250305248,68.0,14.0,76.0,4.0,0.0,10.0,4.0
"Bad Bunny, Grupo Frontera",505671438,57.0,56.0,72.0,23.0,0.0,27.0,5.0
"Bad Bunny, Jhay Cortez",2371592360,76.5,28.0,62.5,21.0,0.0,38.5,4.5
"Bad Bunny, Rauw Alejandro",614555082,83.0,47.0,80.0,2.0,0.0,24.0,9.0
"Bad Bunny, Tainy",1304313953,61.0,24.0,62.0,60.0,0.0,24.0,31.0
"Bad Bunny, The Marï¿½ï",319546754,78.0,55.0,60.0,59.0,0.0,7.0,4.0
Band Aid,481697415,60.0,23.0,57.0,0.0,2.0,27.0,3.0
Beach House,789753877,51.0,62.0,79.0,22.0,13.0,14.0,3.0
Beach Weather,480507035,57.0,47.0,84.0,1.0,1.0,52.0,4.0
"Bebe Rexha, David Guetta",1109433169,56.0,38.0,97.0,4.0,0.0,35.0,4.0
"Becky G, Peso Pluma",161460990,85.0,53.0,68.0,40.0,0.0,9.0,4.0
Bellakath,168684524,90.0,76.0,81.0,15.0,24.0,33.0,6.0
Benson Boone,382199619,36.0,30.0,54.0,34.0,0.0,14.0,5.0
Beyoncï¿,1122304190,67.66666666666667,65.66666666666667,73.66666666666667,2.6666666666666665,0.0,16.666666666666668,10.666666666666666
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",123122413,81.0,63.0,68.0,11.0,0.0,11.0,4.0
"Big One, FMK, Ke personajes",142095275,50.0,85.0,52.0,11.0,0.0,28.0,6.0
Billie Eilish,2616432448,44.2,15.4,29.6,70.6,0.2,13.8,3.8
"Billie Eilish, Khalid",2355719893,35.0,12.0,30.0,93.0,0.0,10.0,3.0
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",395591396,23.0,19.0,25.0,91.0,0.0,40.0,3.0
"Bizarrap, Paulo Londra",164163229,61.0,32.0,90.0,25.0,0.0,10.0,9.0
"Bizarrap, Peso Pluma",200647221,85.0,81.0,67.0,26.0,0.0,12.0,5.0
"Bizarrap, Quevedo",1356565093,62.0,55.0,78.0,1.0,3.0,23.0,4.0
"Bizarrap, Tiago pzk",374191487,66.0,76.0,82.0,47.0,0.0,10.0,32.0
"Bizarrap, Villano Antillano",248511839,82.0,42.0,75.0,6.0,0.0,63.0,6.0
"Blackbear, BoyWithUke",197643795,78.0,83.0,75.0,41.0,0.0,27.0,8.0
Bobby Helms,741301563,74.0,78.0,37.0,84.0,0.0,6.0,3.0
"Bomba Estï¿½ï¿½reo, Bad B",1133865788,65.0,27.0,69.0,8.0,0.0,53.0,4.0
BoyWithUke,582981380,59.0,69.0,61.0,84.0,0.0,46.0,36.0
Brenda Lee,769213520,70.0,85.0,41.0,71.0,0.0,45.0,5.0
Britney Spears,261116938,67.0,69.0,72.0,17.0,0.0,19.0,3.0
"Brray, Rauw Alejandro, Lyanno",471819764,83.0,58.0,83.0,21.0,0.0,10.0,5.0
Bruno Mars,5846920599,62.0,45.75,60.75,38.0,0.0,15.5,4.25
"Bruno Mars, Anderson .Paak, Silk Sonic",1499431000,61.0,78.5,62.0,12.0,0.0,22.0,3.5
Burl Ives,395591396,67.0,81.0,36.0,64.0,0.0,15.0,3.0
Burna Boy,389473914,70.5,43.5,61.5,14.0,0.0,9.5,7.0
"Buscabulla, Bad Bunny",344055883,80.0,45.0,62.0,76.0,0.0,10.0,38.0
C. Tangana,339473453,67.0,37.0,46.0,13.0,0.0,10.0,39.0
"Calvin Harris, Dua Lipa",1897517891,79.0,59.0,86.0,4.0,0.0,8.0,11.0
"Calvin Harris, Dua Lipa, Young Thug",190625045,82.0,76.0,70.0,16.0,0.0,8.0,5.0
"Calvin Harris, Ellie Goulding",211050784,64.0,31.0,87.0,4.0,4.0,8.0,4.0
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",123473120,81.0,90.0,73.0,28.0,0.0,29.0,4.0
"Camila Cabello, Ed Sheeran",756907987,76.0,96.0,70.0,18.0,0.0,33.0,4.0
"Camila Cabello, Willow",75476209,63.0,45.0,64.0,34.0,0.0,9.0,8.0
Carin Leon,77309611,54.0,50.0,40.0,61.0,0.0,10.0,6.0
"Carin Leon, Grupo Frontera",2762,49.0,78.0,64.0,19.0,0.0,11.0,4.0
"Cartel De Santa, La Kelly",162887075,93.0,47.0,47.0,33.0,0.0,10.0,36.0
Central Cee,780321205,82.5,74.0,51.0,62.0,0.0,30.5,33.5
Chanel,65719930,73.0,59.0,81.0,13.0,0.0,9.0,6.0
"Charli XCX, Jax Jones, Joel Corry, Saweetie",427486004,79.0,79.0,84.0,2.0,0.0,5.0,5.0
Charlie Puth,646703472,70.0,73.0,53.5,42.5,0.0,10.0,18.5
"Charlie Puth, BTS, Jung Kook",720434240,88.0,72.0,59.0,62.0,0.0,9.0,3.0
Chase Atlantic,498960285,67.0,8.0,54.0,27.0,0.0,8.0,4.0
"Chencho Corleone, Bad Bunny",1440757818,91.0,43.0,71.0,9.0,0.0,9.0,8.0
"Chencho Corleone, Rauw Alejandro",809306935,87.0,51.0,69.0,36.0,0.0,9.0,8.0
"Cherish, ACRAZE",674772936,85.0,64.0,81.0,2.0,5.0,7.0,9.0
Childish Gambino,445590495,56.0,25.0,45.0,1.0,3.0,7.0,3.0
Chino Pacas,255932395,74.0,96.0,80.0,18.0,0.0,5.0,5.0
Chris Brown,929964809,73.0,31.0,69.0,6.0,0.0,11.0,4.0
"Chris Brown, Rvssian, Rauw Alejandro",436695353,73.0,60.0,85.0,17.0,0.0,24.0,5.0
Chris Molitor,1755214421,43.0,28.0,66.0,0.0,0.0,23.0,3.0
Chris Rea,429504768,51.0,87.0,58.0,36.0,0.0,18.0,4.0
Christian Nodal,319757142,59.0,73.0,45.0,44.0,0.0,34.0,3.0
Chuck Berry,245350949,69.0,94.0,71.0,79.0,0.0,7.0,8.0
Cigarettes After Sex,841749534,37.0,17.0,47.0,2.0,46.0,11.0,3.0
Ckay,726837877,74.0,53.0,73.0,61.0,0.0,13.0,4.0
"Ckay, AX'EL, Dj Yo!",540539717,58.0,44.0,60.0,44.0,9.0,5.0,6.0
Coi Leray,335074782,95.0,62.0,52.0,3.0,0.0,5.0,16.0
Coldplay,3825176058,47.333333333333336,26.666666666666668,44.333333333333336,52.333333333333336,1.6666666666666667,10.666666666666666,2.6666666666666665
"Coldplay, BTS",1061966512,58.0,42.0,68.0,1.0,0.0,14.0,4.0
Conan Gray,1301799902,47.0,25.0,43.0,62.0,0.0,32.0,3.0
"Coolio, L.V.",1357608774,63.0,40.0,61.0,9.0,0.0,56.0,6.0
Creedence Clearwater Revival,1145727611,74.0,76.0,70.0,7.0,0.0,13.0,3.0
Cris Mj,682475162,87.0,82.0,53.0,10.0,0.0,5.0,8.0
"DJ Escobar, MC MENOR SG, MC MENOR HR",174006928,87.0,52.0,52.0,31.0,0.0,28.0,24.0
Daddy Yankee,815714311,77.5,82.0,85.5,19.5,0.0,21.5,5.0
"Daddy Yankee, Bad Bunny",1108955074,77.5,59.0,85.0,6.0,0.0,9.5,5.0
Danny Ocean,421365166,45.0,27.0,67.0,32.0,0.0,13.0,14.0
Darlene Love,242767149,34.0,35.0,76.0,39.0,0.0,8.0,5.0
Dave,229473310,95.0,36.0,37.0,35.0,0.0,10.0,28.0
"Dave, Central Cee",183706234,92.0,66.0,58.0,19.0,0.0,8.0,24.0
"David Guetta, Anne-Marie, Coi Leray",177740666,60.0,23.0,91.0,0.0,0.0,12.0,3.0
"David Guetta, Ella Henderson, Becky Hill",286739476,60.0,46.0,71.0,3.0,0.0,16.0,4.0
"David Guetta, Shakira, Black Eyed Peas",240918092,82.0,49.0,88.0,20.0,0.0,21.0,3.0
David Kushner,511978174,57.0,31.5,39.0,88.0,0.0,19.0,3.0
"De La Ghetto, Duki, Quevedo",178512385,79.0,48.0,84.0,13.0,0.0,21.0,23.0
"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",279717388,91.0,59.0,82.0,8.0,0.0,6.0,8.0
Dean Lewis,284785823,40.0,39.0,64.0,21.0,0.0,7.0,7.0
Dean Martin,446390129,45.0,72.0,24.0,91.0,0.0,18.0,4.0
Demi Lovato,677389855,59.0,30.0,62.0,1.0,0.0,8.0,4.0
"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",116144341,89.0,48.0,74.0,30.0,0.0,7.0,36.0
Doechii,95131998,74.0,76.0,76.0,6.0,0.0,10.0,9.0
Doja Cat,4702294655,80.0,56.833333333333336,59.666666666666664,25.166666666666668,0.6666666666666666,18.833333333333332,14.5
"Doja Cat, The Weeknd",672656250,83.0,44.0,62.0,2.0,0.0,8.0,6.0
"Don Omar, Lucenzo",1279434863,47.0,86.0,92.0,8.0,0.0,5.0,24.0
"Don Toliver, Future, Justin Bieber",105062254,84.0,44.0,67.0,8.0,0.0,11.0,6.0
Dove Cameron,496311364,35.0,23.0,61.0,23.0,0.0,19.0,6.0
"Dr. Dre, 2Pac, Roger",579395142,77.0,76.0,84.0,3.0,0.0,38.0,4.0
"Dr. Dre, Snoop Dogg",2053908531,86.5,42.0,83.5,10.5,0.0,7.0,24.5
Drake,655542929,76.5,26.75,51.0,7.75,0.5,24.0,14.75
"Drake, 21 Savage",2076567740,74.0,32.0,56.875,1.375,0.0,22.0,23.875
"Drake, DJ Khaled, Lil Baby",170732845,72.0,18.0,46.0,7.0,0.0,28.0,8.0
"Drake, Future, Tems",556585270,46.0,34.0,64.0,31.0,0.0,7.0,34.0
"Drake, Future, Young Thug",489945871,80.0,33.0,60.0,0.0,0.0,32.0,14.0
"Drake, Project Pat, 21 Savage",594482982,85.0,22.0,37.0,13.0,0.0,7.0,30.0
"Drake, Travis Scott",593917618,67.0,29.0,47.0,5.0,0.0,22.0,26.0
"Drake, Travis Scott, 21 Savage",191333656,75.0,45.0,63.0,6.0,0.0,35.0,12.0
"Drake, WizKid, Kyla",2713922350,77.0,36.0,63.0,1.0,0.0,36.0,5.0
Dua Lipa,3227639000,71.66666666666667,78.66666666666667,84.0,2.6666666666666665,0.0,24.0,7.0
"Dua Lipa, DaBaby",1802514301,70.0,92.0,83.0,1.0,0.0,7.0,6.0
"Dua Lipa, Elton John, Pnau",1605224506,80.0,92.0,80.0,4.0,0.0,10.0,3.0
"Dua Lipa, Megan Thee Stallion",299634472,81.0,68.0,63.0,17.0,0.0,10.0,22.0
Duki,342373931,71.0,49.5,77.5,31.5,0.0,17.5,25.5
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",223582566,77.0,72.0,87.0,17.0,0.0,7.0,5.0
Duncan Laurence,991336132,45.0,27.0,33.0,82.0,0.0,14.0,4.0
ENHYPEN,365477661,71.33333333333333,58.0,78.0,27.666666666666668,0.0,35.666666666666664,8.0
Ed Sheeran,13908947204,69.66666666666667,51.333333333333336,64.77777777777777,28.88888888888889,0.0,16.333333333333332,5.0
"Ed Sheeran, Elton John",135723538,59.0,60.0,94.0,24.0,0.0,10.0,4.0
"Ed Sheeran, Fireboy DML",261286503,96.0,71.0,42.0,57.0,0.0,8.0,9.0
"Ed Sheeran, J Balvin",106933107,89.0,59.0,64.0,5.0,0.0,19.0,7.0
"Ed Sheeran, Taylor Swift",146789379,53.0,31.0,31.0,92.0,0.0,28.0,3.0
Eden Muï¿½ï,299648208,55.0,86.0,44.0,40.0,0.0,7.0,4.0
Edison Lighthouse,0,53.0,75.0,69.0,7.0,0.0,17.0,3.0
"El Chachito, Junior H",198275403,70.0,77.0,48.0,37.0,0.0,12.0,5.0
Elley Duhï¿,872137015,41.0,9.0,61.0,2.0,0.0,12.0,5.0
"Elton John, Britney Spears",284216603,67.0,49.0,77.0,11.0,0.0,19.0,11.0
Em Beihold,258714692,74.0,61.0,52.0,30.0,0.0,26.0,9.0
"Em Beihold, Stephen Sanchez",600976848,34.0,32.0,57.0,78.0,0.0,20.0,3.0
Eminem,6183805596,79.75,43.75,68.0,6.25,0.0,22.25,17.25
"Eminem, Dido",918915401,78.0,53.0,74.0,4.0,0.0,45.0,21.0
"Eminem, Dina Rae",655466831,80.0,64.0,76.0,2.0,0.0,20.0,6.0
"Eminem, Dr. Dre",739827412,92.5,61.5,80.0,10.0,0.0,20.5,16.0
"Eminem, Nate Dogg",1695712020,55.0,10.0,85.0,7.0,0.0,8.0,20.0
Emmy Meli,225259194,65.0,46.0,47.0,12.0,0.0,13.0,16.0
"Eslabon Armado, Peso Pluma",725980112,67.0,83.0,76.0,48.0,0.0,8.0,3.0
Farruko,1309887447,76.0,44.0,77.0,1.0,0.0,13.0,3.0
Feid,2220740399,73.0,59.875,63.375,10.0,0.0,19.375,11.375
"Feid, Alejo, Robi",273005485,83.0,63.0,74.0,14.0,0.0,16.0,6.0
"Feid, Mora",477033549,76.0,46.0,79.0,31.0,0.0,7.0,6.0
"Feid, Mora, Saiko, Quevedo",57312735,62.0,55.0,80.0,15.0,0.0,37.0,7.0
"Feid, Myke Towers, Sky Rompiendo",107753850,72.0,17.0,64.0,7.0,0.0,10.0,5.0
"Feid, Paulo Londra",73513683,80.0,81.0,67.0,4.0,0.0,8.0,6.0
"Feid, Sech, Jhayco",133895612,82.0,67.0,77.0,8.0,0.0,12.0,5.0
"Feid, Young Miko",335222234,86.0,67.0,66.0,14.0,0.0,12.0,16.0
Fifty Fifty,636477650,77.5,85.0,62.5,54.0,0.0,36.0,3.0
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",159240673,84.0,43.0,75.0,5.0,0.0,6.0,8.0
Frank Ocean,1628636796,72.5,51.5,58.0,35.0,0.0,29.5,16.5
Frank Sinatra,178660459,51.0,94.0,34.0,73.0,0.0,10.0,5.0
"Frank Sinatra, B. Swanson Quartet",473248298,60.0,86.0,32.0,88.0,0.0,34.0,6.0
Freddie Dredd,199386237,80.0,46.0,62.0,3.0,6.0,11.0,46.0
Fuerza Regida,254854130,79.0,96.0,85.5,18.0,0.0,10.0,7.5
"Fuerza Regida, Chino Pacas",116334601,70.0,76.0,79.0,26.0,0.0,11.0,7.0
"Fuerza Regida, Grupo Frontera",367316268,54.0,75.0,60.0,30.0,0.0,7.0,5.0
"Fuerza Regida, Natanael Cano",288101651,66.0,85.0,60.0,40.0,0.0,14.0,13.0
"Fuerza Regida, Peso Pluma",158950978,76.0,80.0,81.0,19.0,0.0,6.0,9.0
Fujii Kaze,403097450,60.0,52.0,76.0,17.0,0.0,19.0,5.0
Future,304965349,76.5,44.0,63.0,8.5,0.0,11.5,35.5
"Future, Chris Brown, Metro Boomin",401036314,72.0,45.0,59.0,14.0,0.0,20.0,21.0
"Future, Lil Uzi Vert, Metro Boomin",37126685,77.0,28.0,55.0,18.0,0.0,22.0,15.0
"Future, Metro Boomin, Don Toliver",286400165,68.0,17.0,71.0,15.0,0.0,11.0,5.0
"GODZZ__-, Zakaria",1180896317,81.0,83.0,75.0,14.0,0.0,29.0,34.0
"Gabito Ballesteros, Junior H, Peso Pluma",86444842,65.0,87.0,74.0,22.0,0.0,42.0,4.0
Gayle,1007612429,70.0,42.0,54.0,30.0,0.0,37.0,5.0
Ghost,387080183,47.0,56.0,90.0,0.0,0.0,10.0,4.0
Giveon,951637566,61.0,59.0,46.0,56.0,0.0,13.0,5.0
Glass Animals,2557975762,76.0,53.0,53.0,44.0,0.0,9.0,9.0
"Gorillaz, Bad Bunny",149778242,64.0,30.0,77.0,46.0,0.0,38.0,6.0
"Gotye, Kimbra",1457139296,86.0,75.0,52.0,54.0,0.0,10.0,4.0
